antecedents,consequents
"frozenset({'tomato', 'pork', 'potato'})",frozenset({'carrot'})
"frozenset({'pork', 'potato', 'carrot'})",frozenset({'tomato'})
"frozenset({'pork', 'tomato', 'carrot'})",frozenset({'potato'})
"frozenset({'egg', 'cheese', 'flour'})",frozenset({'milk'})
"frozenset({'egg', 'cheese', 'milk'})",frozenset({'flour'})
"frozenset({'cheese', 'flour', 'milk'})",frozenset({'egg'})
"frozenset({'egg', 'chocolate', 'vanilla'})",frozenset({'flour'})
"frozenset({'egg', 'chocolate', 'flour'})",frozenset({'vanilla'})
"frozenset({'chocolate', 'vanilla', 'flour'})",frozenset({'egg'})
"frozenset({'egg', 'chocolate'})","frozenset({'vanilla', 'flour'})"
"frozenset({'chocolate', 'vanilla'})","frozenset({'egg', 'flour'})"
"frozenset({'chocolate', 'flour'})","frozenset({'egg', 'vanilla'})"
"frozenset({'egg', 'vanilla', 'milk'})",frozenset({'flour'})
"frozenset({'vanilla', 'flour', 'milk'})",frozenset({'egg'})
"frozenset({'vanilla', 'milk'})","frozenset({'egg', 'flour'})"
"frozenset({'tamarind', 'tomato', 'fish sauce'})",frozenset({'spinach'})
"frozenset({'tamarind', 'tomato', 'spinach'})",frozenset({'fish sauce'})
"frozenset({'tamarind', 'fish sauce', 'spinach'})",frozenset({'tomato'})
"frozenset({'tomato', 'fish sauce', 'spinach'})",frozenset({'tamarind'})
"frozenset({'tamarind', 'fish sauce'})","frozenset({'tomato', 'spinach'})"
"frozenset({'tamarind', 'spinach'})","frozenset({'tomato', 'fish sauce'})"
"frozenset({'tamarind', 'radish', 'tomato'})",frozenset({'okra'})
"frozenset({'tamarind', 'radish', 'okra'})",frozenset({'tomato'})
"frozenset({'tamarind', 'tomato', 'okra'})",frozenset({'radish'})
"frozenset({'radish', 'tomato', 'okra'})",frozenset({'tamarind'})
"frozenset({'tamarind', 'radish'})","frozenset({'tomato', 'okra'})"
"frozenset({'tamarind', 'tomato'})","frozenset({'radish', 'okra'})"
"frozenset({'tamarind', 'okra'})","frozenset({'radish', 'tomato'})"
"frozenset({'radish', 'tomato'})","frozenset({'tamarind', 'okra'})"
"frozenset({'radish', 'okra'})","frozenset({'tamarind', 'tomato'})"
frozenset({'radish'}),"frozenset({'tamarind', 'tomato', 'okra'})"
"frozenset({'tamarind', 'tomato', 'okra'})",frozenset({'spinach'})
"frozenset({'tamarind', 'tomato', 'spinach'})",frozenset({'okra'})
"frozenset({'tamarind', 'spinach', 'okra'})",frozenset({'tomato'})
"frozenset({'spinach', 'tomato', 'okra'})",frozenset({'tamarind'})
"frozenset({'tamarind', 'okra'})","frozenset({'tomato', 'spinach'})"
"frozenset({'tamarind', 'spinach'})","frozenset({'tomato', 'okra'})"
"frozenset({'spinach', 'okra'})","frozenset({'tamarind', 'tomato'})"
"frozenset({'tamarind', 'radish', 'tomato'})",frozenset({'spinach'})
"frozenset({'tamarind', 'radish', 'spinach'})",frozenset({'tomato'})
"frozenset({'tamarind', 'tomato', 'spinach'})",frozenset({'radish'})
"frozenset({'radish', 'tomato', 'spinach'})",frozenset({'tamarind'})
"frozenset({'tamarind', 'radish'})","frozenset({'tomato', 'spinach'})"
"frozenset({'tamarind', 'spinach'})","frozenset({'radish', 'tomato'})"
"frozenset({'radish', 'tomato'})","frozenset({'tamarind', 'spinach'})"
"frozenset({'radish', 'spinach'})","frozenset({'tamarind', 'tomato'})"
frozenset({'radish'}),"frozenset({'tamarind', 'tomato', 'spinach'})"
"frozenset({'egg', 'baking soda', 'milk', 'flour'})",frozenset({'butter'})
"frozenset({'egg', 'butter', 'baking soda', 'milk'})",frozenset({'flour'})
"frozenset({'butter', 'baking soda', 'milk', 'flour'})",frozenset({'egg'})
"frozenset({'baking soda', 'milk', 'flour'})","frozenset({'egg', 'butter'})"
"frozenset({'butter', 'baking soda', 'milk'})","frozenset({'egg', 'flour'})"
"frozenset({'egg', 'butter', 'vanilla', 'flour'})",frozenset({'baking soda'})
"frozenset({'egg', 'baking soda', 'vanilla', 'flour'})",frozenset({'butter'})
"frozenset({'egg', 'butter', 'baking soda', 'flour'})",frozenset({'vanilla'})
"frozenset({'egg', 'butter', 'baking soda', 'vanilla'})",frozenset({'flour'})
"frozenset({'butter', 'baking soda', 'vanilla', 'flour'})",frozenset({'egg'})
"frozenset({'egg', 'butter', 'vanilla'})","frozenset({'baking soda', 'flour'})"
"frozenset({'egg', 'baking soda', 'vanilla'})","frozenset({'butter', 'flour'})"
"frozenset({'egg', 'butter', 'baking soda'})","frozenset({'vanilla', 'flour'})"
"frozenset({'butter', 'vanilla', 'flour'})","frozenset({'egg', 'baking soda'})"
"frozenset({'baking soda', 'vanilla', 'flour'})","frozenset({'egg', 'butter'})"
"frozenset({'butter', 'baking soda', 'flour'})","frozenset({'egg', 'vanilla'})"
"frozenset({'butter', 'baking soda', 'vanilla'})","frozenset({'egg', 'flour'})"
"frozenset({'butter', 'vanilla'})","frozenset({'egg', 'baking soda', 'flour'})"
"frozenset({'baking soda', 'vanilla'})","frozenset({'egg', 'butter', 'flour'})"
"frozenset({'butter', 'baking soda'})","frozenset({'egg', 'vanilla', 'flour'})"
"frozenset({'egg', 'vanilla', 'chocolate', 'flour'})",frozenset({'baking soda'})
"frozenset({'egg', 'baking soda', 'chocolate', 'flour'})",frozenset({'vanilla'})
"frozenset({'egg', 'vanilla', 'baking soda', 'chocolate'})",frozenset({'flour'})
"frozenset({'vanilla', 'baking soda', 'chocolate', 'flour'})",frozenset({'egg'})
"frozenset({'egg', 'chocolate', 'flour'})","frozenset({'baking soda', 'vanilla'})"
"frozenset({'egg', 'vanilla', 'chocolate'})","frozenset({'baking soda', 'flour'})"
"frozenset({'egg', 'baking soda', 'chocolate'})","frozenset({'vanilla', 'flour'})"
"frozenset({'vanilla', 'chocolate', 'flour'})","frozenset({'egg', 'baking soda'})"
"frozenset({'baking soda', 'chocolate', 'flour'})","frozenset({'egg', 'vanilla'})"
"frozenset({'vanilla', 'baking soda', 'chocolate'})","frozenset({'egg', 'flour'})"
"frozenset({'egg', 'chocolate'})","frozenset({'baking soda', 'vanilla', 'flour'})"
"frozenset({'chocolate', 'flour'})","frozenset({'egg', 'baking soda', 'vanilla'})"
"frozenset({'vanilla', 'chocolate'})","frozenset({'egg', 'baking soda', 'flour'})"
"frozenset({'baking soda', 'chocolate'})","frozenset({'egg', 'vanilla', 'flour'})"
"frozenset({'egg', 'vanilla', 'milk', 'flour'})",frozenset({'baking soda'})
"frozenset({'egg', 'baking soda', 'milk', 'flour'})",frozenset({'vanilla'})
"frozenset({'egg', 'vanilla', 'baking soda', 'milk'})",frozenset({'flour'})
"frozenset({'vanilla', 'baking soda', 'milk', 'flour'})",frozenset({'egg'})
"frozenset({'egg', 'vanilla', 'milk'})","frozenset({'baking soda', 'flour'})"
"frozenset({'egg', 'baking soda', 'milk'})","frozenset({'vanilla', 'flour'})"
"frozenset({'vanilla', 'milk', 'flour'})","frozenset({'egg', 'baking soda'})"
"frozenset({'baking soda', 'milk', 'flour'})","frozenset({'egg', 'vanilla'})"
"frozenset({'vanilla', 'baking soda', 'milk'})","frozenset({'egg', 'flour'})"
"frozenset({'baking soda', 'milk'})","frozenset({'egg', 'vanilla', 'flour'})"
"frozenset({'egg', 'vanilla', 'milk', 'flour'})",frozenset({'butter'})
"frozenset({'egg', 'vanilla', 'butter', 'milk'})",frozenset({'flour'})
"frozenset({'vanilla', 'butter', 'milk', 'flour'})",frozenset({'egg'})
"frozenset({'vanilla', 'milk', 'flour'})","frozenset({'egg', 'butter'})"
"frozenset({'vanilla', 'butter', 'milk'})","frozenset({'egg', 'flour'})"
