antecedents,consequents
"frozenset({'vanilla', 'milk'})",frozenset({'flour'})
"frozenset({'lemon', 'pork'})",frozenset({'soy sauce'})
"frozenset({'pork', 'okra'})",frozenset({'tomato'})
"frozenset({'tamarind', 'radish'})",frozenset({'okra'})
"frozenset({'tamarind', 'okra'})",frozenset({'radish'})
"frozenset({'radish', 'okra'})",frozenset({'tamarind'})
frozenset({'radish'}),"frozenset({'tamarind', 'okra'})"
"frozenset({'radish', 'tomato'})",frozenset({'okra'})
"frozenset({'radish', 'okra'})",frozenset({'tomato'})
"frozenset({'tomato', 'okra'})",frozenset({'radish'})
frozenset({'radish'}),"frozenset({'tomato', 'okra'})"
"frozenset({'tamarind', 'okra'})",frozenset({'spinach'})
"frozenset({'tamarind', 'spinach'})",frozenset({'okra'})
"frozenset({'spinach', 'okra'})",frozenset({'tamarind'})
"frozenset({'tomato', 'okra'})",frozenset({'spinach'})
"frozenset({'tomato', 'spinach'})",frozenset({'okra'})
"frozenset({'spinach', 'okra'})",frozenset({'tomato'})
"frozenset({'tamarind', 'tomato'})",frozenset({'okra'})
"frozenset({'tamarind', 'okra'})",frozenset({'tomato'})
"frozenset({'tomato', 'okra'})",frozenset({'tamarind'})
"frozenset({'potato', 'pork'})",frozenset({'tomato'})
"frozenset({'tamarind', 'radish'})",frozenset({'spinach'})
"frozenset({'tamarind', 'spinach'})",frozenset({'radish'})
"frozenset({'radish', 'spinach'})",frozenset({'tamarind'})
frozenset({'radish'}),"frozenset({'tamarind', 'spinach'})"
"frozenset({'radish', 'tomato'})",frozenset({'spinach'})
"frozenset({'radish', 'spinach'})",frozenset({'tomato'})
frozenset({'radish'}),"frozenset({'tomato', 'spinach'})"
"frozenset({'tamarind', 'radish'})",frozenset({'tomato'})
"frozenset({'tamarind', 'tomato'})",frozenset({'radish'})
"frozenset({'radish', 'tomato'})",frozenset({'tamarind'})
frozenset({'tamarind'}),"frozenset({'radish', 'tomato'})"
frozenset({'radish'}),"frozenset({'tamarind', 'tomato'})"
"frozenset({'tamarind', 'tomato'})",frozenset({'spinach'})
"frozenset({'tamarind', 'spinach'})",frozenset({'tomato'})
"frozenset({'tomato', 'spinach'})",frozenset({'tamarind'})
frozenset({'tamarind'}),"frozenset({'tomato', 'spinach'})"
"frozenset({'egg', 'butter', 'baking soda'})",frozenset({'flour'})
"frozenset({'egg', 'butter', 'flour'})",frozenset({'baking soda'})
"frozenset({'egg', 'baking soda', 'flour'})",frozenset({'butter'})
"frozenset({'butter', 'baking soda', 'flour'})",frozenset({'egg'})
"frozenset({'butter', 'baking soda'})","frozenset({'egg', 'flour'})"
"frozenset({'egg', 'butter', 'baking soda'})",frozenset({'milk'})
"frozenset({'egg', 'baking soda', 'milk'})",frozenset({'butter'})
"frozenset({'butter', 'baking soda', 'milk'})",frozenset({'egg'})
"frozenset({'baking soda', 'milk'})","frozenset({'egg', 'butter'})"
"frozenset({'egg', 'butter', 'baking soda'})",frozenset({'vanilla'})
"frozenset({'egg', 'butter', 'vanilla'})",frozenset({'baking soda'})
"frozenset({'egg', 'baking soda', 'vanilla'})",frozenset({'butter'})
"frozenset({'butter', 'baking soda', 'vanilla'})",frozenset({'egg'})
"frozenset({'butter', 'baking soda'})","frozenset({'egg', 'vanilla'})"
"frozenset({'butter', 'vanilla'})","frozenset({'egg', 'baking soda'})"
"frozenset({'baking soda', 'vanilla'})","frozenset({'egg', 'butter'})"
